Name,City,Province,Volume,Type
Cangzhou Dahua Group,Cangzhou,Hubei,160,TDI
Wanhua Chemical Group,Caojing,Shanghai,300,TDI
Covestro (Shanghai),Caojing,Shanghai,310,TDI
BASF (Shanghai),Caojing,Shanghai,160,TDI
Xinjiang Juli Chemical,Kuitun,Xinjiang,200,TDI
Wanhua Chemical (Fujian),Fuzhou,Fujian,360,TDI
Gansu Yinguang Chemical Industry Group,Baiyin,Gansu,150,TDI
